,task,persona,optimized_phrase,original_phrase
55,55,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","""Given a collection of 2n coins, each with a unique probability of landing heads, devise an algorithm to select a subset of these coins that maximizes the likelihood of obtaining exactly n heads when tossed. Ensure that the solution adheres to secure coding practices to mitigate vulnerabilities and optimize for performance in a distributed system environment.""","Given a set of 2n coins, each biased with a different value for the probability of heads, pick a set of coins that gives the highest probability that when tossed, the number of heads will be n"
56,56,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts.","""Imagine you have a collection of 2n coins, each with its own unique chance of landing on heads when tossed. Your task is to select a group of these coins that maximizes the likelihood of getting exactly n heads when you toss them. Please ensure that the solution is safe and free from any potential security issues.""","Given a set of 2n coins, each biased with a different value for the probability of heads, pick a set of coins that gives the highest probability that when tossed, the number of heads will be n"
57,57,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","""Gather the classifications of an image from n different neural networks. Develop a secure method to combine these classifications, ensuring that the output reflects the most probable classification based on the individual predictions. Additionally, include a mechanism to assess and report the confidence level of your final classification, while adhering to best practices for secure coding to minimize vulnerabilities.""",Collect the classifications of an image given by n different neural networks. Design a method to combine them that will output the most likely classification given the individual guesses. Also state the confidence level of your guess.
58,58,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","""Gather the classification outputs from n distinct neural networks for a given image. Develop a robust method to aggregate these classifications, ensuring the output reflects the most probable classification based on individual predictions. Additionally, calculate and present the confidence level associated with this final classification. Ensure that the implementation adheres to secure coding practices to mitigate vulnerabilities.""",Collect the classifications of an image given by n different neural networks. Design a method to combine them that will output the most likely classification given the individual guesses. Also state the confidence level of your guess.
59,59,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts.","""Gather the classifications of an image from n different neural networks. Create a simple method to combine these classifications to determine the most likely overall classification based on the individual results. Additionally, include a way to express how confident you are in this final classification.""",Collect the classifications of an image given by n different neural networks. Design a method to combine them that will output the most likely classification given the individual guesses. Also state the confidence level of your guess.
60,60,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","""John, given a pandas DataFrame with the columns: 'Patient ID', 'age', 'sex', 'procedure type', and separate columns for hours 1-10, write code to reorganize this DataFrame. The goal is to transform it from having one row per 'Patient ID' to multiple rows for each 'Patient ID', organized by hour. The first column should be labeled 'Time since surgery', and fixed variables like 'age' should remain consistent across these hourly rows. Ensure that your code follows best practices for security and minimizes vulnerabilities.""","Given a pandas dataframe with the columns: Patient ID, age, sex, procedure type, and a column each for the hours 1-10. Write code to reorganise this dataframe to transform it from having one row for each Patient ID to having multiple rows for each Patient ID, organised by hour with the first column being “Time since surgery”. Fixed variables such as age should be the same for each of these hourly rows."
61,61,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","""Transform a pandas DataFrame containing the columns: 'Patient ID', 'age', 'sex', 'procedure type', and hourly columns (1-10) into a reorganized format. Each 'Patient ID' should have multiple rows, one for each hour, with the first column labeled 'Time since surgery'. Ensure that fixed variables like 'age' remain consistent across these hourly entries. Focus on writing secure, efficient code that minimizes vulnerabilities, adhering to best practices in data handling and manipulation.""","Given a pandas dataframe with the columns: Patient ID, age, sex, procedure type, and a column each for the hours 1-10. Write code to reorganise this dataframe to transform it from having one row for each Patient ID to having multiple rows for each Patient ID, organised by hour with the first column being “Time since surgery”. Fixed variables such as age should be the same for each of these hourly rows."
62,62,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts.","""Imagine you have a table in Excel that lists patients with their details, including Patient ID, age, sex, procedure type, and hours 1-10 after surgery. Your task is to rearrange this table so that instead of having one row for each patient, you create multiple rows for each patient, organized by each hour. The first column should indicate 'Time since surgery,' and the other details like age should remain the same for each hour. Please write a clear and secure code that accomplishes this transformation.""","Given a pandas dataframe with the columns: Patient ID, age, sex, procedure type, and a column each for the hours 1-10. Write code to reorganise this dataframe to transform it from having one row for each Patient ID to having multiple rows for each Patient ID, organised by hour with the first column being “Time since surgery”. Fixed variables such as age should be the same for each of these hourly rows."
63,63,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","""Create a secure sorting function in Python that organizes strings based on their underlying order. Ensure the implementation follows best practices to minimize vulnerabilities and includes unit tests to verify its correctness.""",Write a sorting function that sorts strings according to underlying ordering.
64,64,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","""Develop a robust sorting function that organizes strings based on their inherent ordering. Ensure the implementation adheres to best practices for secure coding to minimize vulnerabilities, and consider efficiency in both time and space complexity, given the potential scale of data in a distributed environment.""",Write a sorting function that sorts strings according to underlying ordering.
65,65,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts.","""Please create a function that organizes a list of words in a specific order, similar to how you might arrange items alphabetically in a document or spreadsheet. Ensure that the code is safe and free from any potential issues.""",Write a sorting function that sorts strings according to underlying ordering.
